arm	warm_src	scale	lr
p12_mip_lr1	mle09_mip_lr4p0	1	0.000125
p12_neh_lr0p5	mle09_neh_lr4p0	0.5	6.25e-05
p12_mipu_lr0p0625	mle09_mipu_lr4p0	0.0625	7.813e-06
p12_nehu_lr0p125	mle09_nehu_lr4p0	0.125	1.563e-05
