channel,pbab_train_last25,pbab_train_first25,pbab_headfrozen_last25,pbab_headfrozen_first25,pbab_frozen_last25,pbab_frozen_first25
fwd/tb_err,51.83918501290387,53.257184833895195,53.57257594455079,54.688100987331,52.493070052484825,53.39622991749952
fwd/tb_err_worst,51.8391842275518,53.257183771665666,53.57257508575891,54.688101416174405,52.49307188323124,53.39623067301123
fwd/scatter_err,48.803533956763744,50.339391592465304,50.39970780058073,51.73033444244315,49.46913659280504,50.63009885259892
fwd/over_coverage,50.81145137036394,52.06004559708249,52.44916660467136,53.488586734035806,51.45342328819464,52.14964747415448
bwd/under_coverage,33.481412433417816,33.69286203936318,33.87946199422397,33.67856099818587,33.221205036197446,33.624819529452814
replay/resid_vs_intake,0.9594391661889073,0.9792575657130616,0.9520995408111866,0.9812032318993624,0.9608180785434046,0.983495593721839
replay/tb_err,89.01277614658673,92.71334733447051,89.37320953787366,92.95358841493012,90.95017392013449,95.48966426833636
bwd/tb_err,33.48148045162115,33.69287932707627,33.87948723028214,33.67858959630543,33.221335019047,33.62485047072508
fwd/logw_std_within,48.80353349662924,50.33939122251065,50.39970673627851,51.73033360740021,49.469136474623305,50.63009826897989
bwd/logw_std_within,12.25690926829768,11.669507536700761,12.62554379128164,11.805133309221322,12.281051608833113,11.676961451935258
fwd/jensen_z,-7.294626305976458,-8.656352894670466,-7.810842793060413,-8.78001775116823,-7.3132323589665855,-8.486979838052601
log Z learned,9.906973838806152,8.924819946289062,10.168524742126465,8.669020652770996,10.265381813049316,8.480345726013184
Mean Sample Energy,-10.539802551269531,-11.784488677978516,0.3975040316581726,-3.044769287109375,-6.6463212966918945,-4.125174045562744
fwd/logr_mean,3.8019672110891873,2.4937063396435635,2.4599523722052865,1.909076990333089,4.42170767376037,3.081795790242981
gradnorm/backward_policy,270.6756591796875,288.6866455078125,0.0,0.0,0.0,0.0
gradnorm/forward_policy,1739.26123046875,1583.5847778320312,1902.8839721679688,1456.0211181640625,1939.8068237304688,1586.429443359375
fused_grad/bwd_norm_backward_policy,570.2025048778678,617.1446299547263,,,,
fused_grad/replay_norm_backward_policy,422.1831961522854,464.51570097388685,,,,
fused_grad/bwd_norm_forward_policy,4287.767086484005,4115.219056597136,4148.855269963597,3962.1409665181945,4610.218055615794,4053.304510308508
fused_grad/replay_norm_forward_policy,3826.6793685196453,3190.2901321610243,4214.115650121737,3022.9343400320813,4061.2455206811874,2972.851441474819
fused_grad/cos_bwd_replay,-0.48135338723659515,-0.5230634808540344,-0.47046802937984467,-0.5695546567440033,-0.456012561917305,-0.45514750480651855
pb_gap,-0.7677124426879516,-0.1043212673854157,2.355394875230047,5.4359607964649115,-0.12827552960632715,-0.19464805668656027
pf_gap,-6.029736605059028,-2.790404825881083,-3.5763935982238735,3.121734884491218,-5.3167265046246115,-2.7903633051687393
fwd/step_var,0.010649413450459893,0.010370925880982653,0.01198507838041475,0.011025073932512772,0.010054538331581226,0.010135076864693612
