arm	family	start	warm_src	prior	prior_bytes
fin19_mip_pb	mip	switch	fin19_mip_a	mipcas_sg2_zp1_elj_200k_prior_dataset_niggli_v2.pt	165617107
fin19_mip_unpb	mip	switch	fin19_mip_a	mipcas_sg2_zp1_elj_200k_prior_dataset_niggli_v2.pt	165617107
fin19_mip_pbf	mip	switch	fin19_mip_a	mipcas_sg2_zp1_elj_200k_prior_dataset_niggli_v2.pt	165617107
fin19_mip_unpbf	mip	switch	fin19_mip_a	mipcas_sg2_zp1_elj_200k_prior_dataset_niggli_v2.pt	165617107
fin19_mip_pb_n5	mip	switch	fin19_mip_a	mipcas_sg2_zp1_elj_200k_prior_dataset_niggli_v2.pt	165617107
fin19_mip_pb_n20	mip	switch	fin19_mip_a	mipcas_sg2_zp1_elj_200k_prior_dataset_niggli_v2.pt	165617107
