arm	warm_src	batch	scale
acrb3_b50_lr0p00625	pt100_acr_lr4p0	1000	0.00625
acrb3_b50_lr0p0125	pt100_acr_lr4p0	1000	0.0125
acrb3_b50_lr0p025	pt100_acr_lr4p0	1000	0.025
acrb3_b50_lr0p05	pt100_acr_lr4p0	1000	0.05
acrb3_b25_lr0p00625	pt100_acr_lr4p0	1000	0.00625
acrb3_b25_lr0p0125	pt100_acr_lr4p0	1000	0.0125
acrb3_b25_lr0p025	pt100_acr_lr4p0	1000	0.025
